"","Red","Green","Blue","Target.Color","Condition","B1","B2","B3","B4","B5","B6"
"1",55,0,200,"Purple","Low.1",155,157,160,162,164,169
"2",60,0,195,"Purple","Low.2",169,171,174,176,178,183
"3",65,0,190,"Purple","Low.3",183,185,188,190,192,197
"4",70,0,185,"Purple","Low.4",197,200,202,204,207,212
"5",75,0,180,"Purple","Low.5",212,214,217,219,221,226
"6",80,0,175,"Purple","Low.6",226,228,231,233,235,240
"7",85,0,170,"Purple","Low.7",240,242,245,247,249,254
"8",90,0,165,"Purple","Low.1",155,157,160,162,164,169
"9",95,0,160,"Purple","Low.2",169,171,174,176,178,183
"10",100,0,155,"Purple","Low.3",183,185,188,190,192,197
"11",55,0,200,"Purple","Low.4",197,200,202,204,207,212
"12",60,0,195,"Purple","Low.5",212,214,217,219,221,226
"13",65,0,190,"Purple","Low.6",226,228,231,233,235,240
"14",70,0,185,"Purple","Low.7",240,242,245,247,249,254
"15",75,0,180,"Purple","Mid.1",155,158,162,165,168,175
"16",80,0,175,"Purple","Mid.2",175,178,182,185,188,195
"17",85,0,170,"Purple","Mid.3",195,198,201,204,208,214
"18",90,0,165,"Purple","Mid.4",214,217,221,224,227,234
"19",95,0,160,"Purple","Mid.5",234,237,241,244,247,254
"20",100,0,155,"Purple","Mid.1",155,158,162,165,168,175
"21",55,0,200,"Purple","Mid.2",175,178,182,185,188,195
"22",60,0,195,"Purple","Mid.3",195,198,201,204,208,214
"23",65,0,190,"Purple","Mid.4",214,217,221,224,227,234
"24",70,0,185,"Purple","Mid.5",234,237,241,244,247,254
"25",75,0,180,"Purple","High.1",155,163,172,180,188,204
"26",80,0,175,"Purple","High.2",180,188,196,204,213,229
"27",85,0,170,"Purple","High.3",204,213,221,229,238,254
"28",90,0,165,"Purple","High.1",155,163,172,180,188,204
"29",95,0,160,"Purple","High.2",180,188,196,204,213,229
"30",100,0,155,"Purple","High.3",204,213,221,229,238,254
"31",55,0,200,"Purple","Low.1",155,157,160,162,164,169
"32",60,0,195,"Purple","Low.2",169,171,174,176,178,183
"33",65,0,190,"Purple","Low.3",183,185,188,190,192,197
"34",70,0,185,"Purple","Low.4",197,200,202,204,207,212
"35",75,0,180,"Purple","Low.5",212,214,217,219,221,226
"36",80,0,175,"Purple","Low.6",226,228,231,233,235,240
"37",85,0,170,"Purple","Low.7",240,242,245,247,249,254
"38",90,0,165,"Purple","Low.1",155,157,160,162,164,169
"39",95,0,160,"Purple","Low.2",169,171,174,176,178,183
"40",100,0,155,"Purple","Low.3",183,185,188,190,192,197
"41",55,0,200,"Purple","Low.4",197,200,202,204,207,212
"42",60,0,195,"Purple","Low.5",212,214,217,219,221,226
"43",65,0,190,"Purple","Low.6",226,228,231,233,235,240
"44",70,0,185,"Purple","Low.7",240,242,245,247,249,254
"45",75,0,180,"Purple","Mid.1",155,158,162,165,168,175
"46",80,0,175,"Purple","Mid.2",175,178,182,185,188,195
"47",85,0,170,"Purple","Mid.3",195,198,201,204,208,214
"48",90,0,165,"Purple","Mid.4",214,217,221,224,227,234
"49",95,0,160,"Purple","Mid.5",234,237,241,244,247,254
"50",100,0,155,"Purple","Mid.1",155,158,162,165,168,175
"51",55,0,200,"Purple","Mid.2",175,178,182,185,188,195
"52",60,0,195,"Purple","Mid.3",195,198,201,204,208,214
"53",65,0,190,"Purple","Mid.4",214,217,221,224,227,234
"54",70,0,185,"Purple","Mid.5",234,237,241,244,247,254
"55",75,0,180,"Purple","High.1",155,163,172,180,188,204
"56",80,0,175,"Purple","High.2",180,188,196,204,213,229
"57",85,0,170,"Purple","High.3",204,213,221,229,238,254
"58",90,0,165,"Purple","High.1",155,163,172,180,188,204
"59",95,0,160,"Purple","High.2",180,188,196,204,213,229
"60",100,0,155,"Purple","High.3",204,213,221,229,238,254
"61",55,0,200,"Purple","Low.1",155,157,160,162,164,169
"62",60,0,195,"Purple","Low.2",169,171,174,176,178,183
"63",65,0,190,"Purple","Low.3",183,185,188,190,192,197
"64",70,0,185,"Purple","Low.4",197,200,202,204,207,212
"65",75,0,180,"Purple","Low.5",212,214,217,219,221,226
"66",80,0,175,"Purple","Low.6",226,228,231,233,235,240
"67",85,0,170,"Purple","Low.7",240,242,245,247,249,254
"68",90,0,165,"Purple","Low.1",155,157,160,162,164,169
"69",95,0,160,"Purple","Low.2",169,171,174,176,178,183
"70",100,0,155,"Purple","Low.3",183,185,188,190,192,197
"71",55,0,200,"Purple","Low.4",197,200,202,204,207,212
"72",60,0,195,"Purple","Low.5",212,214,217,219,221,226
"73",65,0,190,"Purple","Low.6",226,228,231,233,235,240
"74",70,0,185,"Purple","Low.7",240,242,245,247,249,254
"75",75,0,180,"Purple","Mid.1",155,158,162,165,168,175
"76",80,0,175,"Purple","Mid.2",175,178,182,185,188,195
"77",85,0,170,"Purple","Mid.3",195,198,201,204,208,214
"78",90,0,165,"Purple","Mid.4",214,217,221,224,227,234
"79",95,0,160,"Purple","Mid.5",234,237,241,244,247,254
"80",100,0,155,"Purple","Mid.1",155,158,162,165,168,175
"81",55,0,200,"Purple","Mid.2",175,178,182,185,188,195
"82",60,0,195,"Purple","Mid.3",195,198,201,204,208,214
"83",65,0,190,"Purple","Mid.4",214,217,221,224,227,234
"84",70,0,185,"Purple","Mid.5",234,237,241,244,247,254
"85",75,0,180,"Purple","High.1",155,163,172,180,188,204
"86",80,0,175,"Purple","High.2",180,188,196,204,213,229
"87",85,0,170,"Purple","High.3",204,213,221,229,238,254
"88",90,0,165,"Purple","High.1",155,163,172,180,188,204
"89",95,0,160,"Purple","High.2",180,188,196,204,213,229
"90",100,0,155,"Purple","High.3",204,213,221,229,238,254
"91",55,0,200,"Purple","Low.1",155,157,160,162,164,169
"92",60,0,195,"Purple","Low.2",169,171,174,176,178,183
"93",65,0,190,"Purple","Low.3",183,185,188,190,192,197
"94",70,0,185,"Purple","Low.4",197,200,202,204,207,212
"95",75,0,180,"Purple","Low.5",212,214,217,219,221,226
"96",80,0,175,"Purple","Low.6",226,228,231,233,235,240
"97",85,0,170,"Purple","Low.7",240,242,245,247,249,254
"98",90,0,165,"Purple","Low.1",155,157,160,162,164,169
"99",95,0,160,"Purple","Low.2",169,171,174,176,178,183
"100",100,0,155,"Purple","Low.3",183,185,188,190,192,197
"101",55,0,200,"Purple","Low.4",197,200,202,204,207,212
"102",60,0,195,"Purple","Low.5",212,214,217,219,221,226
"103",65,0,190,"Purple","Low.6",226,228,231,233,235,240
"104",70,0,185,"Purple","Low.7",240,242,245,247,249,254
"105",75,0,180,"Purple","Mid.1",155,158,162,165,168,175
