"Target.Color","Target.stim","Condition","Outer.Color","C1","C2","C3","C4","C5","C6","Congruency","random"
"Blue","1,0,254","Low.3","Purple","72,0,183","70,0,185","67,0,188","65,0,190","63,0,192","58,0,197","incongruent",1
"Purple","65,0,190","Low.6","Blue","29,0,226","27,0,228","24,0,231","22,0,233","20,0,235","15,0,240","incongruent",2
"Purple","75,0,180","Low.5","Blue","43,0,212","41,0,214","38,0,217","36,0,219","34,0,221","29,0,226","incongruent",3
"Blue","20,0,235","Mid.1","Purple","100,0,155","97,0,158","93,0,162","90,0,165","87,0,168","80,0,175","incongruent",4
"Purple","90,0,165","Low.1","Purple","100,0,155","98,0,157","95,0,160","93,0,162","91,0,164","86,0,169","congruent",5
"Purple","90,0,165","Low.1","Purple","100,0,155","98,0,157","95,0,160","93,0,162","91,0,164","86,0,169","congruent",6
"Blue","20,0,235","Low.6","Blue","29,0,226","27,0,228","24,0,231","22,0,233","20,0,235","15,0,240","congruent",7
"Blue","50,0,205","Mid.5","Blue","21,0,234","18,0,237","14,0,241","11,0,244","8,0,247","1,0,254","congruent",8
"Blue","50,0,205","Low.1","Purple","100,0,155","98,0,157","95,0,160","93,0,162","91,0,164","86,0,169","incongruent",9
"Purple","65,0,190","Low.3","Purple","72,0,183","70,0,185","67,0,188","65,0,190","63,0,192","58,0,197","congruent",10
"Blue","25,0,230","High.1","Mixed","100,0,155","92,0,163","83,0,172","75,0,180","67,0,188","51,0,204","mixed",11
"Purple","70,0,185","Mid.5","Blue","21,0,234","18,0,237","14,0,241","11,0,244","8,0,247","1,0,254","incongruent",12
"Blue","1,0,254","Mid.2","Purple","80,0,175","77,0,178","73,0,182","70,0,185","67,0,188","60,0,195","incongruent",13
"Purple","60,0,195","Mid.3","Mixed","60,0,195","57,0,198","54,0,201","51,0,204","47,0,208","41,0,214","mixed",14
"Purple","70,0,185","Low.7","Blue","15,0,240","13,0,242","10,0,245","8,0,247","6,0,249","1,0,254","incongruent",15
"Blue","45,0,210","Low.1","Purple","100,0,155","98,0,157","95,0,160","93,0,162","91,0,164","86,0,169","incongruent",16
"Purple","70,0,185","Low.7","Blue","15,0,240","13,0,242","10,0,245","8,0,247","6,0,249","1,0,254","incongruent",17
"Purple","70,0,185","Mid.5","Blue","21,0,234","18,0,237","14,0,241","11,0,244","8,0,247","1,0,254","incongruent",18
"Purple","60,0,195","Mid.3","Mixed","60,0,195","57,0,198","54,0,201","51,0,204","47,0,208","41,0,214","mixed",19
"Purple","80,0,175","High.2","Mixed","75,0,180","67,0,188","59,0,196","51,0,204","42,0,213","26,0,229","mixed",20
"Blue","45,0,210","Low.3","Purple","72,0,183","70,0,185","67,0,188","65,0,190","63,0,192","58,0,197","incongruent",21
"Blue","1,0,254","Low.6","Blue","29,0,226","27,0,228","24,0,231","22,0,233","20,0,235","15,0,240","congruent",22
"Purple","60,0,195","Low.2","Purple","86,0,169","84,0,171","81,0,174","79,0,176","77,0,178","72,0,183","congruent",23
"Blue","1,0,254","High.1","Mixed","100,0,155","92,0,163","83,0,172","75,0,180","67,0,188","51,0,204","mixed",24
"Purple","95,0,160","Mid.5","Blue","21,0,234","18,0,237","14,0,241","11,0,244","8,0,247","1,0,254","incongruent",25
"Purple","90,0,165","Mid.4","Blue","41,0,214","38,0,217","34,0,221","31,0,224","28,0,227","21,0,234","incongruent",26
"Blue","30,0,225","High.2","Mixed","75,0,180","67,0,188","59,0,196","51,0,204","42,0,213","26,0,229","mixed",27
"Purple","55,0,200","Low.1","Purple","100,0,155","98,0,157","95,0,160","93,0,162","91,0,164","86,0,169","congruent",28
"Blue","5,0,250","Low.1","Purple","100,0,155","98,0,157","95,0,160","93,0,162","91,0,164","86,0,169","incongruent",29
"Blue","1,0,254","Low.4","Mixed","58,0,197","55,0,200","53,0,202","51,0,204","48,0,207","43,0,212","mixed",30
"Blue","1,0,254","Low.4","Mixed","58,0,197","55,0,200","53,0,202","51,0,204","48,0,207","43,0,212","mixed",31
"Purple","80,0,175","Low.6","Blue","29,0,226","27,0,228","24,0,231","22,0,233","20,0,235","15,0,240","incongruent",32
"Blue","30,0,225","High.3","Mixed","51,0,204","42,0,213","34,0,221","26,0,229","17,0,238","1,0,254","mixed",33
"Blue","40,0,215","Mid.3","Mixed","60,0,195","57,0,198","54,0,201","51,0,204","47,0,208","41,0,214","mixed",34
"Purple","65,0,190","Mid.4","Blue","41,0,214","38,0,217","34,0,221","31,0,224","28,0,227","21,0,234","incongruent",35
"Purple","75,0,180","Low.5","Blue","43,0,212","41,0,214","38,0,217","36,0,219","34,0,221","29,0,226","incongruent",36
"Purple","95,0,160","High.2","Mixed","75,0,180","67,0,188","59,0,196","51,0,204","42,0,213","26,0,229","mixed",37
"Purple","70,0,185","Mid.5","Blue","21,0,234","18,0,237","14,0,241","11,0,244","8,0,247","1,0,254","incongruent",38
"Purple","65,0,190","Mid.4","Blue","41,0,214","38,0,217","34,0,221","31,0,224","28,0,227","21,0,234","incongruent",39
"Blue","15,0,240","Mid.4","Blue","41,0,214","38,0,217","34,0,221","31,0,224","28,0,227","21,0,234","congruent",40
"Purple","100,0,155","High.3","Mixed","51,0,204","42,0,213","34,0,221","26,0,229","17,0,238","1,0,254","mixed",41
"Purple","75,0,180","Mid.1","Purple","100,0,155","97,0,158","93,0,162","90,0,165","87,0,168","80,0,175","congruent",42
"Blue","40,0,215","Low.1","Purple","100,0,155","98,0,157","95,0,160","93,0,162","91,0,164","86,0,169","incongruent",43
"Purple","65,0,190","Low.3","Purple","72,0,183","70,0,185","67,0,188","65,0,190","63,0,192","58,0,197","congruent",44
"Blue","15,0,240","Low.6","Blue","29,0,226","27,0,228","24,0,231","22,0,233","20,0,235","15,0,240","congruent",45
"Purple","80,0,175","Low.6","Blue","29,0,226","27,0,228","24,0,231","22,0,233","20,0,235","15,0,240","incongruent",46
"Purple","55,0,200","Low.1","Purple","100,0,155","98,0,157","95,0,160","93,0,162","91,0,164","86,0,169","congruent",47
"Purple","95,0,160","High.2","Mixed","75,0,180","67,0,188","59,0,196","51,0,204","42,0,213","26,0,229","mixed",48
"Purple","75,0,180","Low.5","Blue","43,0,212","41,0,214","38,0,217","36,0,219","34,0,221","29,0,226","incongruent",49
"Blue","30,0,225","Low.4","Mixed","58,0,197","55,0,200","53,0,202","51,0,204","48,0,207","43,0,212","mixed",50
"Purple","75,0,180","Mid.1","Purple","100,0,155","97,0,158","93,0,162","90,0,165","87,0,168","80,0,175","congruent",51
"Purple","85,0,170","Low.7","Blue","15,0,240","13,0,242","10,0,245","8,0,247","6,0,249","1,0,254","incongruent",52
"Purple","55,0,200","Low.1","Purple","100,0,155","98,0,157","95,0,160","93,0,162","91,0,164","86,0,169","congruent",53
"Blue","10,0,245","High.1","Mixed","100,0,155","92,0,163","83,0,172","75,0,180","67,0,188","51,0,204","mixed",54
"Purple","75,0,180","Mid.1","Purple","100,0,155","97,0,158","93,0,162","90,0,165","87,0,168","80,0,175","congruent",55
