"UVID","Question.number","Question","Answer"
10591331,"1","What.is.your.gender.",0
10647455,"1","What.is.your.gender.",0
10678310,"1","What.is.your.gender.",1
10713339,"1","What.is.your.gender.",1
10735089,"1","What.is.your.gender.",0
10778879,"1","What.is.your.gender.",1
10808341,"1","What.is.your.gender.",0
10642101,"1","What.is.your.gender.",0
10522336,"1","What.is.your.gender.",1
10774061,"1","What.is.your.gender.",1
10678282,"1","What.is.your.gender.",0
10733701,"1","What.is.your.gender.",1
10006972,"1","What.is.your.gender.",1
10783352,"1","What.is.your.gender.",1
10764568,"1","What.is.your.gender.",1
10337129,"1","What.is.your.gender.",0
10275646,"1","What.is.your.gender.",0
10731365,"1","What.is.your.gender.",1
10661872,"1","What.is.your.gender.",0
10627575,"1","What.is.your.gender.",0
10576014,"1","What.is.your.gender.",0
10717300,"1","What.is.your.gender.",0
10751183,"1","What.is.your.gender.",1
10686325,"1","What.is.your.gender.",1
10646622,"1","What.is.your.gender.",0
10766571,"1","What.is.your.gender.",1
10817493,"1","What.is.your.gender.",1
10784182,"1","What.is.your.gender.",1
10762899,"1","What.is.your.gender.",1
10783406,"1","What.is.your.gender.",0
10661674,"1","What.is.your.gender.",0
10756431,"1","What.is.your.gender.",0
10523939,"1","What.is.your.gender.",0
10664378,"1","What.is.your.gender.",0
10776423,"1","What.is.your.gender.",1
10766074,"1","What.is.your.gender.",1
10741779,"1","What.is.your.gender.",0
10192599,"1","What.is.your.gender.",1
10522336,"1","What.is.your.gender.",1
10728996,"1","What.is.your.gender.",1
10788850,"1","What.is.your.gender.",1
10743394,"1","What.is.your.gender.",0
10778879,"1","What.is.your.gender.",1
10686083,"1","What.is.your.gender.",1
10723148,"1","What.is.your.gender.",1
10789880,"1","What.is.your.gender.",1
10754508,"1","What.is.your.gender.",1
10612322,"1","What.is.your.gender.",0
10778180,"1","What.is.your.gender.",1
10678282,"1","What.is.your.gender.",0
10634543,"1","What.is.your.gender.",1
10690753,"1","What.is.your.gender.",0
10661872,"1","What.is.your.gender.",0
10789238,"1","What.is.your.gender.",0
10771130,"1","What.is.your.gender.",0
10231042,"1","What.is.your.gender.",1
