"UVID","Question.number","Question","Answer"
10842764,"1","What.is.your.gender.",0
10777529,"1","What.is.your.gender.",1
10724436,"1","What.is.your.gender.",0
10539823,"1","What.is.your.gender.",0
10794731,"1","What.is.your.gender.",0
10788907,"1","What.is.your.gender.",1
10791984,"1","What.is.your.gender.",1
10771266,"1","What.is.your.gender.",1
10613694,"1","What.is.your.gender.",0
10650642,"1","What.is.your.gender.",0
10785330,"1","What.is.your.gender.",1
10810643,"1","What.is.your.gender.",1
10809461,"1","What.is.your.gender.",1
10751651,"1","What.is.your.gender.",1
10810878,"1","What.is.your.gender.",1
10814855,"1","What.is.your.gender.",0
10773064,"1","What.is.your.gender.",1
10747778,"1","What.is.your.gender.",1
10684260,"1","What.is.your.gender.",0
10814975,"1","What.is.your.gender.",0
10788887,"1","What.is.your.gender.",1
10765001,"1","What.is.your.gender.",0
10802498,"1","What.is.your.gender.",0
10814528,"1","What.is.your.gender.",0
10820258,"1","What.is.your.gender.",1
10588629,"1","What.is.your.gender.",1
10806551,"1","What.is.your.gender.",1
10810104,"1","What.is.your.gender.",1
10731364,"1","What.is.your.gender.",0
10782635,"1","What.is.your.gender.",0
10794562,"1","What.is.your.gender.",1
10761068,"1","What.is.your.gender.",0
10807463,"1","What.is.your.gender.",0
10773351,"1","What.is.your.gender.",0
10680264,"1","What.is.your.gender.",1
10782723,"1","What.is.your.gender.",0
10661231,"1","What.is.your.gender.",0
10835151,"1","What.is.your.gender.",1
10722552,"1","What.is.your.gender.",1
10702038,"1","What.is.your.gender.",1
10721073,"1","What.is.your.gender.",1
10797654,"1","What.is.your.gender.",1
10598356,"1","What.is.your.gender.",0
10734251,"1","What.is.your.gender.",0
10734251,"1","What.is.your.gender.",0
10734814,"1","What.is.your.gender.",0
10810900,"1","What.is.your.gender.",1
10771684,"1","What.is.your.gender.",1
10780101,"1","What.is.your.gender.",1
10704181,"1","What.is.your.gender.",0
10787277,"1","What.is.your.gender.",1
10807713,"1","What.is.your.gender.",1
10807713,"1","What.is.your.gender.",1
10719588,"1","What.is.your.gender.",0
10752762,"1","What.is.your.gender.",1
10664451,"1","What.is.your.gender.",0
10660245,"1","What.is.your.gender.",1
10808167,"1","What.is.your.gender.",0
10784917,"1","What.is.your.gender.",0
10031834,"1","What.is.your.gender.",0
10811528,"1","What.is.your.gender.",0
10769335,"1","What.is.your.gender.",0
10681199,"1","What.is.your.gender.",1
10756334,"1","What.is.your.gender.",1
10792169,"1","What.is.your.gender.",0
10810643,"1","What.is.your.gender.",1
10808067,"1","What.is.your.gender.",1
10667170,"1","What.is.your.gender.",1
10545011,"1","What.is.your.gender.",1
10741899,"1","What.is.your.gender.",1
10748749,"1","What.is.your.gender.",1
10762899,"1","What.is.your.gender.",1
10764568,"1","What.is.your.gender.",1
10794504,"1","What.is.your.gender.",1
10735089,"1","What.is.your.gender.",0
10820770,"1","What.is.your.gender.",0
10774061,"1","What.is.your.gender.",1
10771956,"1","What.is.your.gender.",0
10799845,"1","What.is.your.gender.",1
10275646,"1","What.is.your.gender.",0
10767182,"1","What.is.your.gender.",1
10591331,"1","What.is.your.gender.",0
10796866,"1","What.is.your.gender.",1
10791974,"1","What.is.your.gender.",1
10006972,"1","What.is.your.gender.",1
10778180,"1","What.is.your.gender.",1
10683929,"1","What.is.your.gender.",0
10817493,"1","What.is.your.gender.",1
10788850,"1","What.is.your.gender.",1
10337129,"1","What.is.your.gender.",0
10798220,"1","What.is.your.gender.",0
10733701,"1","What.is.your.gender.",1
10709874,"1","What.is.your.gender.",0
10659916,"1","What.is.your.gender.",0
10792327,"1","What.is.your.gender.",0
