Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your Group Name:,What is your Name?,What is your Name?,What is your Name?,What is your Name?,What is your Name?,What is your name?,What is your name?,What is your name?,What is your name?,What is your name?,What is your name?,Contributing to the Team's Work - [Field-studentA],Contributing to the Team's Work - [Field-studentB],Contributing to the Team's Work - [Field-studentC],Contributing to the Team's Work - [Field-studentD],Contributing to the Team's Work - [Field-studentE],Interacting with Teammates - [Field-studentA],Interacting with Teammates - [Field-studentB],Interacting with Teammates - [Field-studentC],Interacting with Teammates - [Field-studentD],Interacting with Teammates - [Field-studentE],Keeping the Team on Track - [Field-studentA],Keeping the Team on Track - [Field-studentB],Keeping the Team on Track - [Field-studentC],Keeping the Team on Track - [Field-studentD],Keeping the Team on Track - [Field-studentE],Expecting Quality - [Field-studentA],Expecting Quality - [Field-studentB],Expecting Quality - [Field-studentC],Expecting Quality - [Field-studentD],Expecting Quality - [Field-studentE],"Having Relevant Knowledge, Skills, and Abilities - [Field-studentA]","Having Relevant Knowledge, Skills, and Abilities - [Field-studentB]","Having Relevant Knowledge, Skills, and Abilities - [Field-studentC]","Having Relevant Knowledge, Skills, and Abilities - [Field-studentD]","Having Relevant Knowledge, Skills, and Abilities - [Field-studentE]",studentA,studentB,studentC,studentD,fullname,uvid,courseId,assignmentId,courseName,courseCrn,studentA,studentB,studentC,studentD,studentE,group,evaluator,groupNumber
4/15/19 15:09,4/15/19 15:19,0,69.169.151.69,100,615,1,4/15/19 15:19,R_1dACFXTDtzW90af,,,,,40.04490662,-111.7321014,anonymous,EN,2,,2,,,,,,,,,,2,5,2,1,,2,4,3,1,,2,4,3,1,,3,5,4,1,,3,5,4,1,,12,23,16,5,StudentB_EAR,1,477025,4143937,ZOOL-1090-X01 | Spring 2019,31688,StudentA_EAR,StudentB_EAR,StudentC_EAR,StudentD_EAR,,EAR,StudentB_EAR,4
4/16/19 12:25,4/16/19 12:28,0,107.188.156.187,100,150,1,4/16/19 12:28,R_Rhqx00CRMVTHqPD,,,,,40.25840759,-111.6591034,anonymous,EN,7,,,,,,,4,,,,,1,5,5,5,,1,5,5,5,,1,5,5,5,,1,5,5,5,,1,5,5,5,,5,25,25,25,StudentD_HEART,2,477025,4143937,ZOOL-1090-X01 | Spring 2019,31688,StudentA_HEART,StudentB_HEART,StudentC_HEART,StudentD_HEART,,HEART,StudentD_HEART,4
4/17/19 9:55,4/17/19 9:57,0,73.65.194.195,100,127,1,4/17/19 9:57,R_3lbRPwcYQ8taEOB,,,,,40.31190491,-111.6959,anonymous,EN,6,,,,,,6,,,,,,1,1,3,3,5,1,1,3,3,5,1,1,3,3,5,1,1,,,,1,1,3,3,,5,5,12,12,StudentE_HAND,3,477025,4143937,ZOOL-1090-X01 | Spring 2019,31688,StudentA_HAND,StudentB_HAND,StudentC_HAND,StudentD_HAND,StudentE_HAND,HAND,StudentE_HAND,5
4/17/19 21:02,4/17/19 21:04,0,76.27.62.200,100,130,1,4/17/19 21:04,R_daiCfcoNys37Opj,,,,,40.1625061,-111.5987015,anonymous,EN,8,,,,,,,,,3,,,4,3,4,3,,4,3,4,3,,4,3,4,3,,4,3,4,3,,4,3,4,3,,20,15,20,15,StudentC_LUNGS,4,477025,4143937,ZOOL-1090-X01 | Spring 2019,31688,StudentA_LUNGS,StudentB_LUNGS,StudentC_LUNGS,StudentD_LUNGS,,LUNGS,StudentC_LUNGS,4
4/17/19 22:42,4/17/19 22:44,0,69.162.230.53,100,137,1,4/17/19 22:44,R_3PRLeGvb4a6eNct,,,,,40.75920105,-111.8874969,anonymous,EN,3,,,1,,,,,,,,,4,4,5,5,,5,5,5,5,,5,5,5,5,,4,4,4,4,,4,4,5,4,,22,22,24,23,StudentA_EYE,5,477025,4143937,ZOOL-1090-X01 | Spring 2019,31688,StudentA_EYE,StudentB_EYE,StudentC_EYE,StudentD_EYE,,EYE,StudentA_EYE,4
4/18/19 1:05,4/18/19 1:07,0,107.188.135.136,100,126,1,4/18/19 1:07,R_2RO1oBkhy8dbH8D,,,,,40.23190308,-111.675499,anonymous,EN,5,,,,,4,,,,,,,5,5,4,4,,5,5,5,5,,5,5,5,5,,5,5,5,5,,5,5,4,4,,25,25,23,23,StudentD_FOOT,6,477025,4143937,ZOOL-1090-X01 | Spring 2019,31688,StudentA_FOOT,StudentB_FOOT,StudentC_FOOT,StudentD_FOOT,,FOOT,StudentD_FOOT,4
4/18/19 11:39,4/18/19 11:41,0,76.23.8.173,100,134,1,4/18/19 11:41,R_3HhlztY5MUsVV3R,,,,,40.34950256,-111.9042969,anonymous,EN,6,,,,,,2,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,25,25,25,25,StudentB_HAND,7,477025,4143937,ZOOL-1090-X01 | Spring 2019,31688,StudentA_HAND,StudentB_HAND,StudentC_HAND,StudentD_HAND,StudentE_HAND,HAND,StudentB_HAND,5
4/18/19 13:09,4/18/19 13:10,0,161.28.232.60,100,94,1,4/18/19 13:10,R_3isAFmfnhfT0n2Y,,,,,40.27830505,-111.7198029,anonymous,EN,8,,,,,,,,,2,,,5,5,5,5,,5,4,5,5,,5,5,5,5,,5,5,5,5,,5,4,5,5,,25,23,25,25,StudentB_LUNGS,8,477025,4143937,ZOOL-1090-X01 | Spring 2019,31688,StudentA_LUNGS,StudentB_LUNGS,StudentC_LUNGS,StudentD_LUNGS,,LUNGS,StudentB_LUNGS,4
4/18/19 15:25,4/18/19 15:28,0,174.23.29.253,100,170,1,4/18/19 15:28,R_09rIcBfBDItORDr,,,,,40.65710449,-111.8342972,anonymous,EN,3,,,3,,,,,,,,,5,5,5,5,,5,5,5,5,,5,5,5,5,,4,4,4,4,,5,5,5,5,,24,24,24,24,StudentC_EYE,9,477025,4143937,ZOOL-1090-X01 | Spring 2019,31688,StudentA_EYE,StudentB_EYE,StudentC_EYE,StudentD_EYE,,EYE,StudentC_EYE,4
4/19/19 7:12,4/19/19 7:14,0,66.60.96.131,100,82,1,4/19/19 7:14,R_2sTMeb4qQsW9jQ3,,,,,40.17700195,-111.5360031,anonymous,EN,4,,,,1,,,,,,,,5,5,4,,,5,5,4,,,5,5,5,,,5,5,4,,,5,5,5,,,25,25,22,0,StudentA_FACE,10,477025,4143937,ZOOL-1090-X01 | Spring 2019,31688,StudentA_FACE,StudentB_FACE,StudentC_FACE,,,FACE,StudentA_FACE,3
