list	block	trial	calibrate	exp_sent	preview	$sent_unmasked	$smsm_1	$dmsm_2	$smsd_3	$dmsd_4	letter_pos	quest	$quest_diff_2	$quest_easy_1
1	0	1	1	0	0	"Walking on the slippery basement resulted in frequent accidents at school.     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	0	0	"x"	"x"
1	0	2	1	0	0	"An individual’s personal hygiene affects nearly every aspect of their adult life.     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	0	0	"x"	"x"
1	0	3	1	0	0	"Every child knows that the steady tortoise beats the quick hare at the end.     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	0	0	"x"	"x"
1	0	4	1	0	0	"The lanky athletic sentinel guarded the office as if it were his own home.     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	0	0	"x"	"x"
1	0	5	1	0	0	"The new improved machine reached the factory much quicker than anticipated.     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	0	0	"x"	"x"
1	0	6	1	0	0	"For the summer birthday party we had a delicious barbeque lasting the whole afternoon.     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	0	0	"x"	"x"
1	1	7	0	1	0	"Adam was having trouble meeting the tough requests made by his boss at work.     xxXxx"	"Adam was having trouble meeting the tough nsgvaebe made by his boss at work.     xxXxx"	"Adam was having trouble meeting the tough erjnrafa made by his boss at work.     xxXxx"	"Adam was having trouble meeting the tough zswvsuxu made by his boss at work.     xxXxx"	"Adam was having trouble meeting the tough erxnrasa made by his boss at work.     xxXxx"	42	0	"x"	"x"
1	1	8	0	1	1	"The elementary teacher was saddened by the hasty printing on the messy homework.     xxXxx"	"The elementary teacher was saddened by the hasty qnlrblrp on the messy homework.     xxXxx"	"The elementary teacher was saddened by the hasty yehufhuj on the messy homework.     xxXxx"	"The elementary teacher was saddened by the hasty ezrrxreo on the messy homework.     xxXxx"	"The elementary teacher was saddened by the hasty zenxsnxu on the messy homework.     xxXxx"	49	0	"x"	"x"
1	1	9	0	0	0	"The long list of names included obvious misnomers which had to be fixed immediately.     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	0	0	"x"	"x"
1	1	10	1	1	1	"The imprisoned teen indulged in a brief fantasy from behind the bars of her prison.     xxXxx"	"The imprisoned teen indluged in a brief kcrbcej from behind the bars of her prison.     xxXxx"	"The imprisoned teen indluged in a brief twufwap from behind the bars of her prison.     xxXxx"	"The imprisoned teen indluged in a brief ncrxcuv from behind the bars of her prison.     xxXxx"	"The imprisoned teen indluged in a brief owxswea from behind the bars of her prison.     xxXxx"	40	2	"Why did the teen indulge in a fantasy?"	"x"
1	1	11	0	0	0	"The sweet aromatic cinnamon smelled like grandmother’s kitchen at Christmas time.     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	0	0	"x"	"x"
1	1	12	0	0	0	"The surgeon unknowingly used a dulled scalpel because he was so sleep deprived.     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	0	0	"x"	"x"
1	1	13	0	0	0	"My sister’s troubled message sounded as if she needed my help immediately.     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	0	0	"x"	"x"
1	1	14	1	1	4	"The prison guard slipped some drugs to a shady prisoner who was cleaning the road.     xxXxx"	"The prison guard slipped some drugs to a shady qnlearan who was cleaning the road.     xxXxx"	"The prison guard slipped some drugs to a shady yehavure who was cleaning the road.     xxXxx"	"The prison guard slipped some drugs to a shady ezruarsz who was cleaning the road.     xxXxx"	"The prison guard slipped some drugs to a shady zenavxre who was cleaning the road.     xxXxx"	47	1	"x"	"What did the guard give to the prisoner?"
1	1	15	0	1	2	"Grandma made sure to save the cheap recipes for when she was eating all alone.     xxXxx"	"Grandma made sure to save the cheap nsolqae for when she was eating all alone.     xxXxx"	"Grandma made sure to save the cheap ermhyra for when she was eating all alone.     xxXxx"	"Grandma made sure to save the cheap zsoresu for when she was eating all alone.     xxXxx"	"Grandma made sure to save the cheap ermnzra for when she was eating all alone.     xxXxx"	36	0	"x"	"x"
1	1	16	0	1	1	"The prisoners of war dreaded the cruel patrols of the guards during their rounds.     xxXxx"	"The prisoners of war dreaded the cruel qcbnaie of the guards during their rounds.     xxXxx"	"The prisoners of war dreaded the cruel ywfevda of the guards during their rounds.     xxXxx"	"The prisoners of war dreaded the cruel ecxzaau of the guards during their rounds.     xxXxx"	"The prisoners of war dreaded the cruel zwsevsa of the guards during their rounds.     xxXxx"	39	0	"x"	"x"
