"Date","Percentage_smarter_than","Group_work.","Group_interactions","Who_is_smarter.","How_do_you_know_who_is_smarter.","uvid","courseID","courseName","instructor_last_name","major_description","gender2"
"2019-01-10",NA,1,2,2,"He knows the information that I do not. He understands the basics very well, whereas I understand the abstract concepts. ",10794889,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biology","M"
"2019-01-10",NA,1,2,2,"I feel Chloe is smarter because she understands physic more than me. Ive never taken a physic class before. I intend to stress myself about a subject I am not fimilar especially  with exams. ",10574452,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Personal Interest","F"
"2019-01-10",NA,1,2,1,"because I like to think highly of myself. ",10626741,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Geology","M"
"2019-01-10",NA,1,2,2,"He seems competent and hard working. I would say we are pretty close but he's slightly ahead of me",10743394,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biology","M"
"2019-01-10",NA,1,2,1,"It’s not smarter but who prepared more for class. It’s preparation not who’s smarter",10811992,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biotechnology","M"
"2019-01-10",NA,1,3,2,"I know I am not a smart person. ",10538416,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Architectural Design Tech","M"
"2019-01-10",NA,1,2,1,"",10771424,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biotechnology","F"
"2019-01-11",NA,1,2,2,"Britton Beckstead is definitely smarter. He is typically the one to teach me how to complete exercises and homework assignments. He usually has a grasp on things and is able to understand the lectures. He devotes more time to studying and has become smarter because of that. ",10808341,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biology","M"
"2019-01-11",NA,1,2,1,"because im able to explain the process of the problem and i ask for help ",10728779,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biology","F"
"2019-01-11",NA,1,3,1,"You can't really determine whether one is smarter than the other, it doesn't give an option for both but we can both be equally as smart just in different ways. ",10749629,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Criminal Justice","F"
"2019-01-12",NA,1,2,2,"He can more focus in the subject. ",10806266,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Exercise Sci and Outdoor Rec","M"
