"Date","Percentage_smarter_than","Group_work?","Group_interactions","Who_is_smarter?","How_do_you_know_who_is_smarter?","Gender","uvid","courseID","courseName","instructor_last_name","major_description","gender2"
"2019-01-10 01:28:09","","1","2","2","He knows the information that I do not. He understands the basics very well, whereas I understand the abstract concepts. ","1","10794889","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biology","M"
"2019-01-10 05:43:43","","1","2","2","I feel Chloe is smarter because she understands physic more than me. Ive never taken a physic class before. I intend to stress myself about a subject I am not fimilar especially  with exams. ","2","10574452","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Personal Interest","F"
"2019-01-10 09:36:03","","1","2","1","because I like to think highly of myself. ","1","10626741","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Geology","M"
"2019-01-10 13:02:52","","1","2","2","He seems competent and hard working. I would say we are pretty close but he's slightly ahead of me","1","10743394","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biology","M"
"2019-01-10 14:41:19","","1","2","1","It’s not smarter but who prepared more for class. It’s preparation not who’s smarter","1","10811992","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biotechnology","M"
"2019-01-10 15:56:58","","1","3","2","I know I am not a smart person. ","1","10538416","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Architectural Design Tech","M"
"2019-01-10 19:39:51","","1","2","1","","2","10771424","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biotechnology","F"
"2019-01-11 09:17:41","","1","2","2","Britton Beckstead is definitely smarter. He is typically the one to teach me how to complete exercises and homework assignments. He usually has a grasp on things and is able to understand the lectures. He devotes more time to studying and has become smarter because of that. ","1","10808341","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biology","M"
"2019-01-11 21:08:53","","1","2","1","because im able to explain the process of the problem and i ask for help ","2","10728779","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biology","F"
"2019-01-11 21:14:06","","1","3","1","You can't really determine whether one is smarter than the other, it doesn't give an option for both but we can both be equally as smart just in different ways. ","2","10749629","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Criminal Justice","F"
"2019-01-12 12:43:41","","1","2","2","He can more focus in the subject. ","1","10806266","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Exercise Sci and Outdoor Rec","M"
"2019-01-12 15:06:29","","1","1","2","He just kind of understands certain things that I cant wrap my head around, especially vectors. I also make some dumb mistakes sometimes that he corrects me on.","2","10827823","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Pre-Professional","F"
"2019-01-12 15:34:41","","1","2","2","I am a bit rusty with the concepts and therefore am taking a bit more time to catch back up. Also, Kevin is made for school, the man is a machine at learning things. He learns better/faster.","1","10718468","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Information Technology","M"
"2019-01-12 16:28:24","","1","1","1","I am usually explaining to him what the answer is and how I got  it.","1","10694781","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biology","M"
"2019-01-12 17:08:04","","1","2","2","All of my study group combined is smarter than me alone.","1","10767399","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biology","M"
"2019-01-13 17:26:05","","1","1","2","We are identical twins. I don't think he is smarter or that I am smarter. ","1","10758539","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biology","M"
"2019-01-13 17:37:43","","1","2","1","My brother probably has Alzheimer's. 
Jokes aside, ""smarter"" is vague, and you didn't give me the option of us being equally intelligent, so I selected myself.   ","1","10652761","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biology","M"
"2019-01-14 04:11:10","","1","2","1","I believe i better understand the teachers reasoning and have better mental perspective. ","1","10806904","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biology","M"
"2019-01-14 13:00:14","","1","3","2","He knows everything. ","1","10660296","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Information Technology","M"
"2019-01-14 15:59:06","","1","2","2","Denis, he a big smart boy. He do good think think.","1","10611134","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Information Technology","M"
"2019-01-14 19:54:31","","1","2","2","Most of the time they know the right answer.","2","10766157","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Exercise Sci and Outdoor Rec","F"
"2019-01-14 20:52:46","","1","2","2","She has a very clear understanding of the course work. She has great background knowledge of the subject, and I do not....at all. In fact I feel like I could be more of a nuisance than of help to her. ","1","10604422","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Information Technology","M"
"2019-01-14 23:25:47","","1","2","1","I actually feel like we are pretty equal. We have taken classes before together and I have always felt this way so that is why I discuss material and work with him. ","2","10722193","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Forensic Science","F"
"2019-01-15 09:13:30","","1","2","1","I wouldn't say that I am necessarily smarter than not sure, I regret answering yes to the question of working with any individual more than any others.  I work with the people who sit close to me in about equal proportions.  There are some who seem to be on the right track for the right answer quicker and more often than others and I tend to be among them. ","1","10807015","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biology","M"
"2019-01-15 13:32:24","","1","2","2","I have known matthew my hole life so I have a good idea of his way of thinking and its better than mine. He has better grades","1","10723534","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Mechatronics Engineering Tech","M"
"2019-01-15 16:51:48","","2","","","","","10820016","474285","BIOL-1610-012 | Spring 2019","Kopp","Pre-Professional","F"
"2019-01-15 16:52:13","","2","","","","","10880898","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biology","F"
"2019-01-15 16:53:24","","2","","","","","10766157","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Exercise Sci and Outdoor Rec","F"
"2019-01-15 16:53:37","","2","","","","","10766157","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Exercise Sci and Outdoor Rec","F"
"2019-01-15 16:53:50","","","","","","","10836597","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","University Studies","M"
"2019-01-15 16:54:03","","2","","","","","10871330","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biology","M"
"2019-01-15 16:54:23","","","","","","","10779279","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biology","M"
"2019-01-15 16:55:20","","2","","","","","10497241","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biology","F"
"2019-01-15 16:55:38","","2","","","","","10713880","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biology","F"
"2019-01-15 16:56:12","","2","","","","","10271374","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Botany","F"
"2019-01-15 16:56:27","","2","","","","","10798428","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Information Technology","M"
"2019-01-15 16:56:52","","2","","","","","10698015","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biology","F"
"2019-01-15 16:57:05","","2","","","","","10844182","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biology","M"
"2019-01-15 20:26:11","","2","","","","","10822716","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Engineering Design Technology","M"
"2019-01-16 06:48:33","","1","2","","Neither because we both have the same level of intelligence when it comes to biology.","1","10831206","472621","BIOL-1010-010","Brooks","Aviation Science","M"
"2019-01-16 08:57:59","","","","","","","10765555","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biology","F"
"2019-01-16 09:02:43","","2","","","","","10745206","472621","BIOL-1010-010","Brooks","Elementary Education","F"
"2019-01-16 09:14:21","","1","2","2","He seems to put things together so much quicker than I do.","2","10733608","472621","BIOL-1010-010","Brooks","University Studies","F"
"2019-01-16 09:36:09","","2","","","","","10660492","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Exercise Sci and Outdoor Rec","M"
"2019-01-16 10:05:56","","2","","","","","10846052","472621","BIOL-1010-010","Brooks","ASL and Deaf Studies Education","F"
"2019-01-16 10:28:31","","2","","","","","10581748","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biology","M"
"2019-01-16 11:09:51","","1","2","1","Understand lecture more","1","10788285","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Mechatronics Engineering Tech","M"
"2019-01-16 11:10:46","","2","","","","","10567114","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Mechatronics Engineering Tech","M"
"2019-01-16 11:12:48","","2","","","","","10750392","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biology","F"
"2019-01-16 11:24:57","","2","","","","","10613554","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Exercise Sci and Outdoor Rec","M"
"2019-01-16 12:18:53","","2","","","","","10811125","472621","BIOL-1010-010","Brooks","Special Education","F"
"2019-01-16 12:23:17","","1","2","1","I determined this because I know that I do well in school already, so I based my decision on my past performance. I am unsure how Kaylie has done so far, but I do know for sure about my academic performance.","2","10848142","474285","BIOL-1610-012 | Spring 2019","Kopp","Biology","F"
"2019-01-16 13:07:58","","2","","","","","10734868","472621","BIOL-1010-010","Brooks","Pre-Professional","F"
"2019-01-16 13:11:06","","2","","","","","10736448","472621","BIOL-1010-010","Brooks","Pre-Professional","F"
"2019-01-16 13:12:20","","1","2","1","There was no available answer to select that we are both smarter after interaction. So I had to select only one.","1","10660823","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biology","M"
"2019-01-16 13:19:13","","","","","","","10744487","477526","PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Exercise Sci and Outdoor Rec","M"
